Date,Open,High,Low,Close,Adj Close,Volume
2019-11-21,23.590000,23.590000,23.590000,23.590000,23.590000,0
2019-11-22,23.610001,23.610001,23.610001,23.610001,23.610001,0
2019-11-25,23.830000,23.830000,23.830000,23.830000,23.830000,0
2019-11-26,23.900000,23.900000,23.900000,23.900000,23.900000,0
2019-11-27,23.969999,23.969999,23.969999,23.969999,23.969999,0
2019-11-29,23.920000,23.920000,23.920000,23.920000,23.920000,0
2019-12-02,23.660000,23.660000,23.660000,23.660000,23.660000,0
2019-12-03,23.510000,23.510000,23.510000,23.510000,23.510000,0
2019-12-04,23.650000,23.650000,23.650000,23.650000,23.650000,0
2019-12-05,23.719999,23.719999,23.719999,23.719999,23.719999,0
2019-12-06,23.940001,23.940001,23.940001,23.940001,23.940001,0
2019-12-09,23.830000,23.830000,23.830000,23.830000,23.830000,0
2019-12-10,23.740000,23.740000,23.740000,23.740000,23.740000,0
2019-12-11,23.760000,23.760000,23.760000,23.760000,23.760000,0
2019-12-12,24.030001,24.030001,24.030001,24.030001,24.030001,0
2019-12-13,24.110001,24.110001,24.110001,24.110001,24.110001,0
2019-12-16,24.240000,24.240000,24.240000,24.240000,24.240000,0
2019-12-17,24.260000,24.260000,24.260000,24.260000,24.260000,0
2019-12-18,24.180000,24.180000,24.180000,24.180000,24.180000,0
2019-12-19,24.250000,24.250000,24.250000,24.250000,24.250000,0
2019-12-20,24.309999,24.309999,24.309999,24.309999,24.309999,0
2019-12-23,24.270000,24.270000,24.270000,24.270000,24.270000,0
2019-12-24,24.299999,24.299999,24.299999,24.299999,24.299999,0
2019-12-26,24.440001,24.440001,24.440001,24.440001,24.440001,0
2019-12-27,24.440001,24.440001,24.440001,24.440001,24.440001,0
2019-12-30,24.230000,24.230000,24.230000,24.230000,24.230000,0
